Titulo,Ano_lancamento,Genero,Vendas_Totais,Vendas_JP,Vendas_EUA,Vendas_Europa,Outras_Vendas
'98 Koshien,1998.0,Sports,0.41,0.12,0.15,0.1,0.03
.hack//G.U. Vol.1//Rebirth,2006.0,Role-Playing,0.17,0.17,0.0,0.0,0.0
.hack//G.U. Vol.2//Reminisce,2006.0,Role-Playing,0.23,0.0,0.11,0.09,0.03
.hack//G.U. Vol.2//Reminisce (jp sales),2006.0,Role-Playing,0.16,0.16,0.0,0.0,0.0
.hack//G.U. Vol.3//Redemption,2007.0,Role-Playing,0.17,0.17,0.0,0.0,0.0
.hack//Infection Part 1,2002.0,Role-Playing,1.27,0.26,0.49,0.38,0.13
.hack//Link,2010.0,Role-Playing,0.14,0.14,0.0,0.0,0.0
.hack//Mutation Part 2,2002.0,Role-Playing,0.68,0.2,0.23,0.18,0.06
.hack//Outbreak Part 3,2002.0,Role-Playing,0.46,0.17,0.14,0.11,0.04
.hack//Quarantine Part 4: The Final Chapter,2003.0,Role-Playing,0.18,0.0,0.09,0.07,0.02
.hack: Sekai no Mukou ni + Versus,2012.0,Action,0.03,0.03,0.0,0.0,0.0
007 Racing,2000.0,Racing,0.53,0.0,0.3,0.2,0.03
007: Quantum of Solace,2008.0,Action,3.92,0.04,1.84,1.35,0.68
007: The World is not Enough,2000.0,Action,2.47,0.02,1.64,0.73,0.09
007: Tomorrow Never Dies,1999.0,Shooter,3.21,0.0,1.72,1.33,0.16
1 vs. 100,2008.0,Misc,0.09,0.0,0.08,0.0,0.01
1/2 Summer +,2013.0,Adventure,0.01,0.01,0.0,0.0,0.0
10 Minute Solution,2010.0,Sports,0.08,0.0,0.06,0.01,0.01
100 All-Time Favorites,2009.0,Puzzle,0.51,0.0,0.35,0.12,0.04
100 Classic Books,2008.0,Misc,0.67,0.0,0.13,0.52,0.02
100 Classic Games,2011.0,Misc,0.04,0.0,0.0,0.03,0.0
1000 Cooking Recipes from ELLE à table,2010.0,Misc,0.03,0.0,0.0,0.02,0.0
1001 Touch Games,2011.0,Action,0.33,0.0,0.12,0.17,0.04
101-in-1 Explosive Megamix,2008.0,Puzzle,0.2,0.0,0.05,0.13,0.02
101-in-1 Party Megamix Wii,2009.0,Misc,0.23,0.0,0.19,0.01,0.02
101-in-1 Sports Megamix,2010.0,Sports,0.08,0.0,0.08,0.0,0.01
101-in-1 Sports Party Megamix,2010.0,Sports,0.03,0.0,0.02,0.0,0.0
1080°: TenEighty Snowboarding,1998.0,Sports,2.03,0.13,1.25,0.61,0.05
11eyes: CrossOver,2009.0,Adventure,0.04,0.04,0.0,0.0,0.0
12-Sai. Honto no Kimochi,2014.0,Adventure,0.07,0.07,0.0,0.0,0.0
12-Sai. Koisuru Diary,2016.0,Adventure,0.04,0.04,0.0,0.0,0.0
12Riven: The Psi-Climinal of Integral,2008.0,Adventure,0.04,0.04,0.0,0.0,0.0
15 Days,2009.0,Adventure,0.01,0.0,0.0,0.01,0.0
1701 A.D.,2006.0,Simulation,0.3,0.0,0.0,0.25,0.05
18 Wheeler: American Pro Trucker,2001.0,Racing,0.51,0.0,0.29,0.17,0.05
18 Wheels of Steel: Extreme Trucker,2009.0,Racing,0.02,0.0,0.0,0.02,0.0
18 Wheels of Steel: Extreme Trucker 2,2011.0,Racing,0.11,0.0,0.08,0.02,0.01
187: Ride or Die,2005.0,Racing,0.21,0.0,0.12,0.07,0.02
1942,1985.0,Shooter,1.0,0.21,0.65,0.14,0.0
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,2005.0,Racing,0.12,0.0,0.09,0.03,0.0
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,2007.0,Action,1.76,0.0,1.26,0.47,0.03
2 Games in 1: Disney Princess & The Lion King,2004.0,Misc,1.75,0.0,1.25,0.46,0.03
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,2005.0,Action,0.31,0.0,0.22,0.08,0.01
2 Games in 1: Sonic Advance & ChuChu Rocket!,2005.0,Misc,1.83,0.0,1.31,0.49,0.03
2 Games in 1: Sonic Battle & ChuChu Rocket!,2005.0,Misc,0.61,0.0,0.44,0.16,0.01
2 Games in 1: Sonic Pinball Party & Columns Crown,2005.0,Misc,0.06,0.0,0.04,0.02,0.0
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,2005.0,Platform,0.45,0.0,0.33,0.12,0.01
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2004.0,Misc,0.65,0.0,0.49,0.12,0.03
2-in-1 Game Pack: Spider-Man & Spider-Man 2,2005.0,Platform,0.09,0.0,0.06,0.02,0.0
2002 FIFA World Cup,2002.0,Sports,0.83,0.16,0.39,0.22,0.07
2010 FIFA World Cup South Africa,2010.0,Sports,3.0,0.13,0.94,1.46,0.47
2014 FIFA World Cup Brazil,2014.0,Sports,1.18,0.01,0.29,0.67,0.2
24: The Game,2006.0,Adventure,0.3,0.0,0.15,0.12,0.04
25 to Life,2006.0,Shooter,0.59,0.0,0.47,0.05,0.07
2Xtreme,1996.0,Sports,1.4,0.0,1.15,0.2,0.05
