Titulo,Vendas_Totais
Wii Sports,82.74
Grand Theft Auto V,55.92
Super Mario Bros.,45.31
Tetris,35.84
Mario Kart Wii,35.82
Wii Sports Resort,33.0
Pokemon Red/Pokemon Blue,31.37
Call of Duty: Black Ops,31.03
Call of Duty: Modern Warfare 3,30.83
New Super Mario Bros.,30.01
Call of Duty: Black Ops II,29.72
Wii Play,29.02
New Super Mario Bros. Wii,28.62
Duck Hunt,28.31
Call of Duty: Ghosts,27.38
Super Mario World,26.07
Call of Duty: Black Ops 3,25.32
Call of Duty: Modern Warfare 2,25.09
Nintendogs,24.76
Grand Theft Auto: San Andreas,23.86
Minecraft,23.73
Mario Kart DS,23.42
Pokemon Gold/Pokemon Silver,23.1
Wii Fit,22.72
Super Mario Bros. 3,22.48
Grand Theft Auto IV,22.47
Super Mario 64,22.31
Wii Fit Plus,22.0
Call of Duty: Advanced Warfare,21.9
Kinect Adventures!,21.82
Brain Age: Train Your Brain in Minutes a Day,20.22
The Elder Scrolls V: Skyrim,19.28
FIFA 15,19.02
Pokemon Diamond/Pokemon Pearl,18.36
Call of Duty 4: Modern Warfare,18.25
Super Mario Land,18.14
Battlefield 3,17.36
FIFA 14,17.14
FIFA 16,16.44
Guitar Hero III: Legends of Rock,16.4
Grand Theft Auto: Vice City,16.19
FIFA Soccer 13,16.16
Call of Duty: World at War,15.87
Pokemon Ruby/Pokemon Sapphire,15.85
LEGO Star Wars: The Complete Saga,15.75
The Sims 3,15.45
Pokemon Black/Pokemon White,15.32
Brain Age 2: More Training in Minutes a Day,15.3
Gran Turismo 3: A-Spec,14.98
Pok?mon Yellow: Special Pikachu Edition,14.64
Pokemon X/Pokemon Y,14.35
Need for Speed: Most Wanted,14.08
Battlefield 4,14.03
LEGO Batman: The Videogame,13.67
Donkey Kong Country,13.53
Mario & Sonic at the Olympic Games,13.2
Assassin's Creed IV: Black Flag,13.16
FIFA 12,13.15
Grand Theft Auto III,13.11
Assassin's Creed III,13.1
Super Smash Bros. Brawl,13.04
Red Dead Redemption,12.94
Just Dance 3,12.92
Destiny,12.61
FIFA Soccer 11,12.56
Super Smash Bros. for Wii U and 3DS,12.47
Fallout 4,12.28
Animal Crossing: Wild World,12.27
Mario Kart 7,12.21
Halo 3,12.14
LEGO Indiana Jones: The Original Adventures,12.05
Pokemon HeartGold/Pokemon SoulSilver,11.9
The Legend of Zelda: Ocarina of Time,11.81
Star Wars Battlefront (2015),11.7
Gran Turismo 4,11.66
Super Mario Galaxy,11.52
Assassin's Creed II,11.41
Pokemon Omega Ruby/Pokemon Alpha Sapphire,11.33
Assassin's Creed,11.3
Grand Theft Auto: Liberty City Stories,11.26
Batman: Arkham City,11.2
Super Mario Land 2: 6 Golden Coins,11.18
Diablo III,11.08
Need for Speed Underground 2,10.97
Gran Turismo,10.95
Super Mario 3D Land,10.79
Gran Turismo 5,10.77
FIFA Soccer 10,10.74
Super Mario All-Stars,10.55
The Last of Us,10.54
Pokemon FireRed/Pokemon LeafGreen,10.49
Need for Speed Underground,10.46
Star Wars: The Force Unleashed,10.23
Dr. Mario,10.19
Guitar Hero: World Tour,10.08
Madden NFL 07,10.03
Fallout 3,9.96
Halo: Reach,9.88
Mario Kart 64,9.87
LEGO Marvel Super Heroes,9.86
New Super Mario Bros. 2,9.82
Zumba Fitness,9.79
Halo 4,9.76
Final Fantasy VII,9.72
Just Dance 2,9.52
Gran Turismo 2,9.49
Watch Dogs,9.49
FIFA Soccer 08,9.49
Assassin's Creed: Revelations,9.19
Animal Crossing: New Leaf,9.09
Madden NFL 06,9.03
Pac-Man,9.03
Mario Party DS,9.02
Just Dance 4,8.93
Medal of Honor: Frontline,8.91
The Legend of Zelda: Twilight Princess,8.9
Super Mario Kart,8.76
Resident Evil 5,8.69
Far Cry 4,8.68
FIFA Soccer 09,8.67
Medal of Honor,8.61
Halo 2,8.59
Need for Speed: ProStreet,8.58
LEGO Harry Potter: Years 1-4,8.53
LittleBigPlanet,8.5
Wii Party,8.49
Pro Evolution Soccer 2008,8.47
Donkey Kong Country Returns,8.46
Tony Hawk's Pro Skater,8.46
Mario Party 8,8.42
Fallout: New Vegas,8.41
Mortal Kombat,8.4
Spider-Man: The Movie,8.4
Pokemon Black 2/Pokemon White 2,8.33
Madden NFL 08,8.15
Kingdom Hearts,8.15
Mario & Sonic at the Olympic Winter Games,8.1
GoldenEye 007,8.09
Batman: Arkham Asylum,8.07
Final Fantasy X,8.05
Tony Hawk's Pro Skater 3,8.05
NBA 2K16,8.03
Assassin's Creed: Unity,7.93
Final Fantasy VIII,7.86
Pok?mon Platinum Version,7.84
The Elder Scrolls IV: Oblivion,7.77
Monopoly,7.7
Super Mario Galaxy 2,7.69
Spider-Man 2,7.64
Harry Potter and the Sorcerer's Stone,7.64
Harry Potter and the Chamber of Secrets,7.64
Madden NFL 2005,7.6
Namco Museum,7.6
Resident Evil 4,7.6
Crash Bandicoot 2: Cortex Strikes Back,7.58
Madden NFL 10,7.57
Call of Duty 3,7.56
LEGO Star Wars III: The Clone Wars,7.56
Tomb Raider II,7.53
Final Fantasy XIII,7.53
Far Cry 3,7.47
Super Mario Bros. 2,7.46
Madden NFL 16,7.42
WWE SmackDown vs Raw 2008,7.41
LEGO Star Wars II: The Original Trilogy,7.35
Rock Band,7.32
Guitar Hero II,7.32
The Legend of Zelda: A Link to the Past,7.31
Street Fighter IV,7.27
Just Dance,7.27
LEGO Star Wars: The Video Game,7.26
Crash Bandicoot: The Wrath of Cortex,7.24
Tekken 3,7.16
Battlefield: Bad Company 2,7.16
Madden NFL 2004,7.14
Madden NFL 09,7.14
Crash Bandicoot 3: Warped,7.13
The Simpsons Game,7.12
Borderlands 2,7.11
Super Smash Bros. Melee,7.07
NBA 2K15,7.06
Sonic the Hedgehog,7.05
Final Fantasy III,7.05
The Simpsons: Hit & Run,7.04
Super Mario World 2: Yoshi's Island,7.03
Madden NFL 15,6.97
Mario Kart 8,6.96
Mario Kart: Double Dash!!,6.95
Assassin's Creed: Brotherhood,6.93
Need For Speed: Undercover,6.92
FIFA 17,6.91
PES 2009: Pro Evolution Soccer,6.86
Cars,6.86
Uncharted 3: Drake's Deception,6.83
Crash Bandicoot,6.82
Tomb Raider (2013),6.8
Gears of War 2,6.76
Uncharted 2: Among Thieves,6.73
Medal of Honor: Rising Sun,6.72
NBA 2K14,6.72
Madden NFL 11,6.68
Teenage Mutant Ninja Turtles,6.67
Big Brain Academy,6.67
Star Wars: Battlefront II,6.67
The Lord of the Rings: The Two Towers,6.65
Tony Hawk's Pro Skater 2,6.62
Just Dance 2014,6.58
Madden NFL 13,6.53
The Legend of Zelda,6.51
Tony Hawk's Underground,6.47
Halo: Combat Evolved,6.47
Finding Nemo,6.46
Resident Evil 2,6.44
Kung Fu Panda,6.42
Need for Speed Carbon,6.42
Madden NFL 2002,6.41
Pok?mon Emerald Version,6.41
Pok?mon Crystal Version,6.39
FIFA Soccer 07,6.38
LEGO Batman 2: DC Super Heroes,6.37
Michael Jackson: The Experience,6.37
The Legend of Zelda: The Wind Waker,6.37
Frogger,6.36
Halo 3: ODST,6.36
Super Mario Sunshine,6.31
Street Fighter II: The World Warrior,6.3
World of Warcraft,6.28
Driver,6.27
Skylanders SWAP Force,6.26
Kinect Sports,6.24
Gears of War 3,6.24
Carnival Games,6.15
Golf,6.13
Gears of War,6.13
Metal Gear Solid,6.1
NBA 2K13,6.1
The Simpsons: Road Rage,6.09
Toy Story 3: The Video Game,6.08
Dragon Quest VIII: Journey of the Cursed King,6.07
Grand Theft Auto: Vice City Stories,6.05
Metal Gear Solid 2: Sons of Liberty,6.05
Sonic the Hedgehog 2,6.03
Metal Gear Solid 4: Guns of the Patriots,6.03
Tom Clancy's Splinter Cell,6.0
Tom Clancy's The Division,5.99
Pro Evolution Soccer 2010,5.98
Final Fantasy XII,5.95
L.A. Noire,5.95
Need for Speed: Hot Pursuit,5.89
Madden NFL 2003,5.89
Dragon Quest VII: Warriors of Eden,5.89
Middle-Earth: Shadow of Mordor,5.85
Dragon Quest IX: Sentinels of the Starry Skies,5.84
Mass Effect 3,5.78
Monster Hunter Tri,5.76
Tony Hawk's Pro Skater 4,5.75
Tekken 2,5.74
Borderlands,5.73
Cooking Mama,5.72
The Lord of the Rings: The Return of the King,5.67
Tomb Raider,5.66
Donkey Kong,5.66
Kingdom Hearts II,5.65
LEGO Pirates of the Caribbean: The Video Game,5.65
Saints Row: The Third,5.64
The Witcher 3: Wild Hunt,5.64
Madden NFL 12,5.62
Star Wars Episode III: Revenge of the Sith,5.59
Skylanders Giants,5.59
Star Wars: Battlefront,5.56
Super Smash Bros.,5.55
Fight Night Round 3,5.55
Madden NFL 25,5.54
NBA 2K12,5.53
Winning Eleven: Pro Evolution Soccer 2007,5.53
Forza Motorsport 3,5.51
Monster Hunter Freedom Unite,5.5
Sega Superstars Tennis,5.49
Super Mario Advance,5.49
God of War III,5.47
Mario Kart: Super Circuit,5.47
Sonic Heroes,5.46
Asteroids,5.46
Fable III,5.45
Pokemon Stadium,5.45
Skylanders: Spyro's Adventure,5.44
Need for Speed: Shift,5.42
NBA 2K11,5.42
MySims,5.4
Batman: Arkham Knight,5.37
Resident Evil,5.34
The LEGO Movie Videogame,5.33
Rock Band 2,5.32
Pokemon Pinball,5.31
Final Fantasy IX,5.3
Final Fantasy X-2,5.29
Resident Evil 6,5.28
The Incredibles,5.27
Donkey Kong 64,5.27
Professor Layton and the Curious Village,5.26
LEGO Indiana Jones 2: The Adventure Continues,5.23
NBA Jam,5.22
WWE SmackDown vs. Raw 2010,5.21
True Crime: Streets of LA,5.21
Super Mario Land 3: Wario Land,5.19
New Super Mario Bros. U,5.19
The Legend of Zelda: Phantom Hourglass,5.17
LEGO Harry Potter: Years 5-7,5.17
Donkey Kong Country 2: Diddy's Kong Quest,5.15
Tomodachi Life,5.15
James Bond 007: Agent Under Fire,5.15
FIFA Soccer 06,5.13
Kirby's Dream Land,5.13
Microsoft Flight Simulator,5.12
Disney Infinity,5.12
Need for Speed Rivals,5.11
Metal Gear Solid V: The Phantom Pain,5.08
James Bond 007: Nightfire,5.06
Warzone 2100,5.01
Link's Crossbow Training,5.0
Spyro the Dragon,5.0
Mass Effect 2,4.99
LEGO Jurassic World,4.98
The Sims: Bustin' Out,4.98
Batman: Arkham Origins,4.97
Mario & Sonic at the London 2012 Olympic Games,4.97
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,4.96
Sonic Unleashed,4.95
Uncharted: Drake's Fortune,4.94
Guitar Hero 5,4.94
Wall-E,4.92
Dead Island,4.9
FIFA Soccer 2005,4.89
Diddy Kong Racing,4.88
WWE SmackDown vs. Raw 2009,4.88
Monster Hunter Freedom 3,4.87
Titanfall,4.86
Just Dance 2015,4.85
StarCraft II: Wings of Liberty,4.83
Enter the Matrix,4.83
Crazy Taxi,4.82
Dragon Age: Inquisition,4.81
Baseball,4.81
Midnight Club: Los Angeles,4.8
Crash Team Racing,4.79
Dragon Age: Origins,4.77
Assassin's Creed Syndicate,4.76
Skate 3,4.76
Saints Row 2,4.76
Ghostbusters: The Video Game (DS Version),4.75
Driver 2,4.73
Half-Life,4.72
The SpongeBob SquarePants Movie,4.7
BioShock,4.69
WWF War Zone,4.69
Animal Crossing: City Folk,4.68
Dragon Warrior III,4.68
Forza Motorsport 4,4.64
Portal 2,4.6
Spider-Man,4.59
Luigi's Mansion: Dark Moon,4.58
Lego Batman 3: Beyond Gotham,4.58
Max Payne,4.58
Namco Museum: 50th Anniversary,4.57
Splatoon,4.57
SoulCalibur II,4.56
pro evolution soccer 2011,4.52
World Soccer Winning Eleven 9,4.5
Marvel: Ultimate Alliance,4.5
Pitfall!,4.5
Call of Duty: Finest Hour,4.5
Ben 10: Protector of Earth,4.49
Uncharted: The Nathan Drake Collection,4.47
Ratatouille,4.46
God of War,4.45
Nintendo Land,4.44
